States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Odisha,,Total Kharif Pulses,1973-1974,172.00,81.00,471
Puducherry,,Total Kharif Pulses,1973-1974,4.00,-,-
Punjab,,Total Kharif Pulses,1973-1974,56.00,28.00,500
Rajasthan,,Total Kharif Pulses,1973-1974,2074.00,548.00,264
Tamil Nadu,,Total Kharif Pulses,1973-1974,652.00,198.00,304
Tripura,,Total Kharif Pulses,1973-1974,1.00,-,-
Uttar Pradesh,,Total Kharif Pulses,1973-1974,713.00,377.00,529
West Bengal,,Total Kharif Pulses,1973-1974,95.00,65.00,684
India,,Total Kharif Pulses,1973-1974,10092.00,3619.00,359
Andhra Pradesh,,Total Kharif Pulses,1974-1975,837.00,193.00,231
Assam,,Total Kharif Pulses,1974-1975,5.00,3.00,694
Bihar,,Total Kharif Pulses,1974-1975,378.00,184.00,486
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1974-1975,4.00,2.00,500
Gujarat,,Total Kharif Pulses,1974-1975,207.00,60.00,292
Haryana,,Total Kharif Pulses,1974-1975,36.00,16.00,425
Himachal Pradesh,,Total Kharif Pulses,1974-1975,37.00,12.00,325
Jammu & Kashmir,,Total Kharif Pulses,1974-1975,44.00,27.00,605
Karnataka,,Total Kharif Pulses,1974-1975,1029.00,459.00,446
Kerala,,Total Kharif Pulses,1974-1975,17.00,5.00,310
Madhya Pradesh,,Total Kharif Pulses,1974-1975,1570.00,682.00,435
Maharashtra,,Total Kharif Pulses,1974-1975,2065.00,827.00,401
Nagaland,,Total Kharif Pulses,1974-1975,2.00,1.00,500
Odisha,,Total Kharif Pulses,1974-1975,161.00,71.00,443
Puducherry,,Total Kharif Pulses,1974-1975,-,2.00,-
Punjab,,Total Kharif Pulses,1974-1975,38.00,18.00,467
Rajasthan,,Total Kharif Pulses,1974-1975,2120.00,144.00,68
Tamil Nadu,,Total Kharif Pulses,1974-1975,451.00,110.00,243
Tripura,,Total Kharif Pulses,1974-1975,1.00,-,-
Uttar Pradesh,,Total Kharif Pulses,1974-1975,714.00,684.00,958
West Bengal,,Total Kharif Pulses,1974-1975,98.00,65.00,556
India,,Total Kharif Pulses,1974-1975,9815.00,3565.00,363
Andhra Pradesh,,Total Kharif Pulses,1975-1976,849.00,194.00,229
Assam,,Total Kharif Pulses,1975-1976,5.00,4.00,704
Bihar,,Total Kharif Pulses,1975-1976,379.00,172.00,453
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1975-1976,4.00,2.00,500
Gujarat,,Total Kharif Pulses,1975-1976,342.00,113.00,331
Haryana,,Total Kharif Pulses,1975-1976,46.00,26.00,573
Himachal Pradesh,,Total Kharif Pulses,1975-1976,38.00,14.00,361
Jammu & Kashmir,,Total Kharif Pulses,1975-1976,43.00,19.00,240
Karnataka,,Total Kharif Pulses,1975-1976,1106.00,516.00,467
Kerala,,Total Kharif Pulses,1975-1976,17.00,6.00,339
Madhya Pradesh,,Total Kharif Pulses,1975-1976,1559.00,760.00,488
Maharashtra,,Total Kharif Pulses,1975-1976,2222.00,917.00,413
Nagaland,,Total Kharif Pulses,1975-1976,2.00,1.00,500
Odisha,,Total Kharif Pulses,1975-1976,203.00,94.00,462
Punjab,,Total Kharif Pulses,1975-1976,38.00,17.00,509
Rajasthan,,Total Kharif Pulses,1975-1976,2494.00,569.00,228
Tamil Nadu,,Total Kharif Pulses,1975-1976,463.00,123.00,266
Tripura,,Total Kharif Pulses,1975-1976,2.00,1.00,500
Uttar Pradesh,,Total Kharif Pulses,1975-1976,697.00,825.00,1183
West Bengal,,Total Kharif Pulses,1975-1976,88.00,62.00,708
India,,Total Kharif Pulses,1975-1976,10601.00,4437.00,418
Andhra Pradesh,,Total Kharif Pulses,1976-1977,796.50,189.00,237
Assam,,Total Kharif Pulses,1976-1977,5.30,3.70,698
Bihar,,Total Kharif Pulses,1976-1977,336.40,150.70,448
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1976-1977,6.70,2.30,343
Gujarat,,Total Kharif Pulses,1976-1977,332.60,120.40,362
Haryana,,Total Kharif Pulses,1976-1977,38.00,27.10,713
Himachal Pradesh,,Total Kharif Pulses,1976-1977,36.90,13.30,360
Jammu & Kashmir,,Total Kharif Pulses,1976-1977,39.60,17.20,434
Karnataka,,Total Kharif Pulses,1976-1977,753.70,266.80,354
Kerala,,Total Kharif Pulses,1976-1977,15.00,5.20,347
Madhya Pradesh,,Total Kharif Pulses,1976-1977,1583.70,566.00,357
Maharashtra,,Total Kharif Pulses,1976-1977,2143.80,780.90,364
Meghalaya,,Total Kharif Pulses,1976-1977,0.20,0.10,500
Odisha,,Total Kharif Pulses,1976-1977,187.80,70.80,377
Punjab,,Total Kharif Pulses,1976-1977,26.80,12.00,448
Rajasthan,,Total Kharif Pulses,1976-1977,2435.20,620.80,255
Tamil Nadu,,Total Kharif Pulses,1976-1977,533.20,169.50,318
Tripura,,Total Kharif Pulses,1976-1977,2.60,1.10,423
Uttar Pradesh,,Total Kharif Pulses,1976-1977,688.20,797.80,1159
West Bengal,,Total Kharif Pulses,1976-1977,101.90,76.30,749
India,,Total Kharif Pulses,1976-1977,10064.10,3891.00,387
Andhra Pradesh,,Total Kharif Pulses,1977-1978,822.20,186.50,227
Assam,,Total Kharif Pulses,1977-1978,5.60,3.90,696
Bihar,,Total Kharif Pulses,1977-1978,371.50,179.10,482
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1977-1978,7.00,2.40,343
Gujarat,,Total Kharif Pulses,1977-1978,349.80,95.30,272
Haryana,,Total Kharif Pulses,1977-1978,28.20,21.70,770
Himachal Pradesh,,Total Kharif Pulses,1977-1978,38.60,14.30,370
Jammu & Kashmir,,Total Kharif Pulses,1977-1978,45.10,20.40,452
Karnataka,,Total Kharif Pulses,1977-1978,999.00,524.50,525
Kerala,,Total Kharif Pulses,1977-1978,11.10,3.90,351
Madhya Pradesh,,Total Kharif Pulses,1977-1978,1593.10,687.80,432
Maharashtra,,Total Kharif Pulses,1977-1978,2133.20,814.20,382
Meghalaya,,Total Kharif Pulses,1977-1978,0.20,0.10,500
Odisha,,Total Kharif Pulses,1977-1978,208.50,103.20,495
Punjab,,Total Kharif Pulses,1977-1978,25.70,13.70,533
Rajasthan,,Total Kharif Pulses,1977-1978,2138.50,523.40,245
Tamil Nadu,,Total Kharif Pulses,1977-1978,576.50,193.00,335
Tripura,,Total Kharif Pulses,1977-1978,2.50,1.20,480
Uttar Pradesh,,Total Kharif Pulses,1977-1978,691.60,812.53,1175
West Bengal,,Total Kharif Pulses,1977-1978,54.40,41.00,754
India,,Total Kharif Pulses,1977-1978,10102.30,4242.13,420
Andhra Pradesh,,Total Kharif Pulses,1978-1979,855.20,190.50,223
Assam,,Total Kharif Pulses,1978-1979,6.40,4.50,703
Bihar,,Total Kharif Pulses,1978-1979,325.70,169.00,519
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1978-1979,6.70,2.50,373
Gujarat,,Total Kharif Pulses,1978-1979,451.40,159.30,353
Haryana,,Total Kharif Pulses,1978-1979,23.40,18.80,803
Himachal Pradesh,,Total Kharif Pulses,1978-1979,35.80,12.80,358
Jammu & Kashmir,,Total Kharif Pulses,1978-1979,46.30,31.80,687
Karnataka,,Total Kharif Pulses,1978-1979,1169.50,532.40,455
Kerala,,Total Kharif Pulses,1978-1979,12.10,5.30,438
Madhya Pradesh,,Total Kharif Pulses,1978-1979,1691.50,655.20,387
Maharashtra,,Total Kharif Pulses,1978-1979,2103.50,819.80,390
Meghalaya,,Total Kharif Pulses,1978-1979,0.20,0.30,1500
Odisha,,Total Kharif Pulses,1978-1979,248.40,123.10,496
Punjab,,Total Kharif Pulses,1978-1979,34.20,17.10,500
Rajasthan,,Total Kharif Pulses,1978-1979,1807.20,271.70,150
Tamil Nadu,,Total Kharif Pulses,1978-1979,606.60,213.40,352
Tripura,,Total Kharif Pulses,1978-1979,2.40,1.10,458
Uttar Pradesh,,Total Kharif Pulses,1978-1979,696.80,693.60,995
West Bengal,,Total Kharif Pulses,1978-1979,44.40,27.40,617
India,,Total Kharif Pulses,1978-1979,10167.70,3949.60,388
Andhra Pradesh,,Total Kharif Pulses,1979-1980,802.00,146.80,183
Assam,,Total Kharif Pulses,1979-1980,6.00,4.20,700
Bihar,,Total Kharif Pulses,1979-1980,324.00,169.40,523
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1979-1980,6.50,2.50,385
Gujarat,,Total Kharif Pulses,1979-1980,447.00,147.90,331
Haryana,,Total Kharif Pulses,1979-1980,20.30,14.80,729
Himachal Pradesh,,Total Kharif Pulses,1979-1980,31.90,9.90,310
Jammu & Kashmir,,Total Kharif Pulses,1979-1980,41.50,25.00,602
Karnataka,,Total Kharif Pulses,1979-1980,1220.70,502.80,412
Kerala,,Total Kharif Pulses,1979-1980,12.10,4.50,372
Madhya Pradesh,,Total Kharif Pulses,1979-1980,1828.50,503.10,275
Maharashtra,,Total Kharif Pulses,1979-1980,2056.70,813.90,396
Meghalaya,,Total Kharif Pulses,1979-1980,0.70,0.50,714
Odisha,,Total Kharif Pulses,1979-1980,270.50,91.00,336
Punjab,,Total Kharif Pulses,1979-1980,44.50,23.10,519
Rajasthan,,Total Kharif Pulses,1979-1980,1621.30,69.50,43
Tamil Nadu,,Total Kharif Pulses,1979-1980,599.00,190.90,319
Tripura,,Total Kharif Pulses,1979-1980,2.40,1.00,417
Uttar Pradesh,,Total Kharif Pulses,1979-1980,765.30,574.40,751
West Bengal,,Total Kharif Pulses,1979-1980,60.60,50.60,835
India,,Total Kharif Pulses,1979-1980,10161.50,3345.80,329
Andhra Pradesh,,Total Kharif Pulses,1980-1981,910.20,211.90,233
Assam,,Total Kharif Pulses,1980-1981,6.70,4.80,716
Bihar,,Total Kharif Pulses,1980-1981,339.60,199.40,587
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1980-1981,5.80,2.40,414
Gujarat,,Total Kharif Pulses,1980-1981,460.70,206.70,449
Haryana,,Total Kharif Pulses,1980-1981,27.00,21.40,793
Himachal Pradesh,,Total Kharif Pulses,1980-1981,35.00,12.30,351
Jammu & Kashmir,,Total Kharif Pulses,1980-1981,48.10,31.60,657
Karnataka,,Total Kharif Pulses,1980-1981,1155.50,355.60,308
Kerala,,Total Kharif Pulses,1980-1981,12.00,8.20,683
Madhya Pradesh,,Total Kharif Pulses,1980-1981,1591.40,565.20,355
Maharashtra,,Total Kharif Pulses,1980-1981,2221.30,650.40,293
Meghalaya,,Total Kharif Pulses,1980-1981,0.70,0.50,714
Odisha,,Total Kharif Pulses,1980-1981,317.40,155.20,489
Punjab,,Total Kharif Pulses,1980-1981,55.80,39.00,699
Rajasthan,,Total Kharif Pulses,1980-1981,1893.00,293.70,155
Tamil Nadu,,Total Kharif Pulses,1980-1981,521.50,140.10,269
Tripura,,Total Kharif Pulses,1980-1981,2.30,1.10,478
Uttar Pradesh,,Total Kharif Pulses,1980-1981,744.20,815.90,1096
West Bengal,,Total Kharif Pulses,1980-1981,61.70,42.30,686
India,,Total Kharif Pulses,1980-1981,10409.90,3757.70,361
Andhra Pradesh,,Total Kharif Pulses,1981-1982,902.70,275.50,305
Assam,,Total Kharif Pulses,1981-1982,7.30,5.20,712
Bihar,,Total Kharif Pulses,1981-1982,328.50,203.10,618
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1981-1982,5.90,2.70,458
Gujarat,,Total Kharif Pulses,1981-1982,546.80,266.70,488
Haryana,,Total Kharif Pulses,1981-1982,28.70,18.20,634
Himachal Pradesh,,Total Kharif Pulses,1981-1982,35.00,7.30,209
Jammu & Kashmir,,Total Kharif Pulses,1981-1982,43.00,28.40,660
Karnataka,,Total Kharif Pulses,1981-1982,1237.40,491.10,397
Kerala,,Total Kharif Pulses,1981-1982,13.00,7.70,592
Madhya Pradesh,,Total Kharif Pulses,1981-1982,1568.60,772.10,492
Maharashtra,,Total Kharif Pulses,1981-1982,2062.10,813.80,395
Meghalaya,,Total Kharif Pulses,1981-1982,0.90,0.60,667
Odisha,,Total Kharif Pulses,1981-1982,366.90,212.00,578
Punjab,,Total Kharif Pulses,1981-1982,54.40,33.80,621
Rajasthan,,Total Kharif Pulses,1981-1982,1819.00,250.30,138
Sikkim,,Total Kharif Pulses,1981-1982,3.30,2.20,667
Tamil Nadu,,Total Kharif Pulses,1981-1982,572.00,176.40,308
Tripura,,Total Kharif Pulses,1981-1982,2.30,1.00,435
Uttar Pradesh,,Total Kharif Pulses,1981-1982,765.30,707.40,924
West Bengal,,Total Kharif Pulses,1981-1982,76.60,52.70,688
India,,Total Kharif Pulses,1981-1982,10439.70,4328.20,415
Andhra Pradesh,,Total Kharif Pulses,1982-1983,912.30,335.90,368
Assam,,Total Kharif Pulses,1982-1983,8.10,5.80,716
Bihar,,Total Kharif Pulses,1982-1983,303.00,185.10,611
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1982-1983,5.70,2.40,421
Gujarat,,Total Kharif Pulses,1982-1983,542.90,332.40,612
Haryana,,Total Kharif Pulses,1982-1983,23.40,19.50,833
Himachal Pradesh,,Total Kharif Pulses,1982-1983,30.00,5.30,177
Jammu & Kashmir,,Total Kharif Pulses,1982-1983,44.60,27.80,623
Karnataka,,Total Kharif Pulses,1982-1983,1273.20,407.00,320
Kerala,,Total Kharif Pulses,1982-1983,9.80,6.70,684
Madhya Pradesh,,Total Kharif Pulses,1982-1983,1537.80,595.60,387
Maharashtra,,Total Kharif Pulses,1982-1983,1955.60,780.80,399
Meghalaya,,Total Kharif Pulses,1982-1983,1.30,0.90,692
Odisha,,Total Kharif Pulses,1982-1983,449.70,275.20,612
