States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,,,
Haryana,,Arhar (Tur/Red gram),1971-1972,6.20,4.00,645,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1971-1972,0.50,0.50,1000,,,,
Karnataka,,Arhar (Tur/Red gram),1971-1972,306.20,162.90,532,,,,
Kerala ,,Arhar (Tur/Red gram),1971-1972,4.90,0.90,184,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1971-1972,504.50,424.70,842,,,,
Maharashtra,,Arhar (Tur/Red gram),1971-1972,482.10,251.00,521,,,,
Meghalaya,,Arhar (Tur/Red gram),1971-1972,0.30,0.20,667,,,,
Odisha,,Arhar (Tur/Red gram),1971-1972,49.60,24.30,490,,,,
Punjab,,Arhar (Tur/Red gram),1971-1972,2.00,0.90,450,,,,
Rajasthan ,,Arhar (Tur/Red gram),1971-1972,34.10,20.20,592,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1971-1972,100.20,40.10,400,,,,
Tripura,,Arhar (Tur/Red gram),1971-1972,0.40,0.20,500,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1971-1972,467.80,599.30,1281,,,,
West Bengal,,Arhar (Tur/Red gram),1971-1972,12.80,4.00,313,,,,
India                             ,,Arhar (Tur/Red gram),1971-1972,2345.50,1683.00,718,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1972-1973,183.30,37.90,207,,,,
Assam,,Arhar (Tur/Red gram),1972-1973,4.80,3.40,708,,,,
Bihar,,Arhar (Tur/Red gram),1972-1973,134.60,127.10,944,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1972-1973,1.20,0.60,500,,,,
Delhi ,,Arhar (Tur/Red gram),1972-1973,0.40,0.10,250,,,,
Gujarat,,Arhar (Tur/Red gram),1972-1973,86.10,34.40,400,,,,
Haryana,,Arhar (Tur/Red gram),1972-1973,8.00,5.60,700,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1972-1973,0.40,0.20,500,,,,
Karnataka,,Arhar (Tur/Red gram),1972-1973,196.60,65.10,331,,,,
Kerala ,,Arhar (Tur/Red gram),1972-1973,4.90,0.40,82,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1972-1973,529.30,474.90,897,,,,
Maharashtra,,Arhar (Tur/Red gram),1972-1973,508.60,199.40,392,,,,
Meghalaya,,Arhar (Tur/Red gram),1972-1973,0.10,0.10,1000,,,,
Odisha,,Arhar (Tur/Red gram),1972-1973,50.80,27.20,535,,,,
Punjab,,Arhar (Tur/Red gram),1972-1973,2.10,0.90,429,,,,
Rajasthan ,,Arhar (Tur/Red gram),1972-1973,36.40,13.20,363,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1972-1973,93.90,45.80,488,,,,
Tripura,,Arhar (Tur/Red gram),1972-1973,0.40,0.20,500,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1972-1973,564.10,868.60,1540,,,,
West Bengal,,Arhar (Tur/Red gram),1972-1973,18.10,22.50,1243,,,,
India                             ,,Arhar (Tur/Red gram),1972-1973,2424.10,1927.60,795,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1973-1974,206.90,38.70,187,,,,
Assam,,Arhar (Tur/Red gram),1973-1974,5.10,3.60,706,,,,
Bihar,,Arhar (Tur/Red gram),1973-1974,117.90,75.90,644,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1973-1974,1.40,0.70,500,,,,
Gujarat,,Arhar (Tur/Red gram),1973-1974,95.50,41.90,439,,,,
Haryana,,Arhar (Tur/Red gram),1973-1974,7.10,3.60,507,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1973-1974,0.60,0.30,500,,,,
Karnataka,,Arhar (Tur/Red gram),1973-1974,312.30,157.30,504,,,,
Kerala ,,Arhar (Tur/Red gram),1973-1974,4.90,1.10,224,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1973-1974,515.90,291.80,566,,,,
Maharashtra,,Arhar (Tur/Red gram),1973-1974,626.80,359.70,574,,,,
Meghalaya,,Arhar (Tur/Red gram),1973-1974,0.20,0.10,500,,,,
Odisha,,Arhar (Tur/Red gram),1973-1974,54.00,27.00,500,,,,
Punjab,,Arhar (Tur/Red gram),1973-1974,4.70,2.30,489,,,,
Rajasthan ,,Arhar (Tur/Red gram),1973-1974,31.40,13.90,443,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1973-1974,95.30,48.40,508,,,,
Tripura,,Arhar (Tur/Red gram),1973-1974,0.40,0.20,500,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1973-1974,526.80,309.70,588,,,,
West Bengal,,Arhar (Tur/Red gram),1973-1974,38.80,32.00,825,,,,
India                             ,,Arhar (Tur/Red gram),1973-1974,2646.00,1408.20,532,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1974-1975,199.20,46.00,231,,,,
Assam,,Arhar (Tur/Red gram),1974-1975,4.90,3.40,694,,,,
Bihar,,Arhar (Tur/Red gram),1974-1975,107.00,88.30,825,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1974-1975,1.90,1.00,526,,,,
Gujarat,,Arhar (Tur/Red gram),1974-1975,93.90,36.80,392,,,,
Haryana,,Arhar (Tur/Red gram),1974-1975,4.40,2.40,545,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1974-1975,0.40,0.20,500,,,,
Karnataka,,Arhar (Tur/Red gram),1974-1975,278.70,146.40,525,,,,
Kerala ,,Arhar (Tur/Red gram),1974-1975,4.90,1.10,224,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1974-1975,513.90,418.60,815,,,,
Maharashtra,,Arhar (Tur/Red gram),1974-1975,592.30,375.50,634,,,,
Meghalaya,,Arhar (Tur/Red gram),1974-1975,0.20,0.20,1000,,,,
Odisha,,Arhar (Tur/Red gram),1974-1975,56.20,27.70,493,,,,
Punjab,,Arhar (Tur/Red gram),1974-1975,3.20,1.60,500,,,,
Rajasthan ,,Arhar (Tur/Red gram),1974-1975,23.40,6.30,269,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1974-1975,68.10,41.40,608,,,,
Tripura,,Arhar (Tur/Red gram),1974-1975,0.40,0.10,250,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1974-1975,540.40,618.40,1144,,,,
West Bengal,,Arhar (Tur/Red gram),1974-1975,35.50,28.80,811,,,,
India                             ,,Arhar (Tur/Red gram),1974-1975,2528.90,1844.20,729,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1975-1976,216.20,43.80,203,,,,
Assam,,Arhar (Tur/Red gram),1975-1976,5.40,3.80,704,,,,
Bihar,,Arhar (Tur/Red gram),1975-1976,102.20,72.00,705,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1975-1976,2.20,1.20,545,,,,
Gujarat,,Arhar (Tur/Red gram),1975-1976,101.90,47.50,466,,,,
Haryana,,Arhar (Tur/Red gram),1975-1976,9.40,2.00,213,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1975-1976,0.40,0.10,250,,,,
Karnataka,,Arhar (Tur/Red gram),1975-1976,315.00,184.60,586,,,,
Kerala ,,Arhar (Tur/Red gram),1975-1976,4.90,1.20,245,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1975-1976,516.80,431.90,836,,,,
Maharashtra,,Arhar (Tur/Red gram),1975-1976,642.40,406.40,633,,,,
Meghalaya,,Arhar (Tur/Red gram),1975-1976,0.10,0.10,1000,,,,
Odisha,,Arhar (Tur/Red gram),1975-1976,57.60,31.40,545,,,,
Punjab,,Arhar (Tur/Red gram),1975-1976,5.60,2.80,500,,,,
Rajasthan ,,Arhar (Tur/Red gram),1975-1976,48.20,24.70,512,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1975-1976,80.60,41.90,520,,,,
Tripura,,Arhar (Tur/Red gram),1975-1976,0.40,0.20,500,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1975-1976,528.50,775.10,1467,,,,
West Bengal,,Arhar (Tur/Red gram),1975-1976,33.20,28.60,861,,,,
India                             ,,Arhar (Tur/Red gram),1975-1976,2671.00,2099.30,786,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1976-1977,182.00,24.00,132,,,,
Assam,,Arhar (Tur/Red gram),1976-1977,5.30,3.70,698,,,,
Bihar,,Arhar (Tur/Red gram),1976-1977,92.90,62.00,667,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1976-1977,2.00,1.10,550,,,,
Gujarat,,Arhar (Tur/Red gram),1976-1977,104.50,62.00,593,,,,
Haryana,,Arhar (Tur/Red gram),1976-1977,2.20,1.60,727,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1976-1977,0.20,0.10,500,,,,
Karnataka,,Arhar (Tur/Red gram),1976-1977,279.70,126.40,452,,,,
Kerala ,,Arhar (Tur/Red gram),1976-1977,3.00,0.70,233,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1976-1977,508.60,280.60,552,,,,
Maharashtra,,Arhar (Tur/Red gram),1976-1977,647.60,297.10,459,,,,
Meghalaya,,Arhar (Tur/Red gram),1976-1977,0.20,0.10,500,,,,
Odisha,,Arhar (Tur/Red gram),1976-1977,41.50,16.50,398,,,,
Punjab,,Arhar (Tur/Red gram),1976-1977,3.80,1.80,474,,,,
Rajasthan ,,Arhar (Tur/Red gram),1976-1977,41.00,17.10,417,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1976-1977,84.30,42.90,509,,,,
Tripura,,Arhar (Tur/Red gram),1976-1977,0.40,0.20,500,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1976-1977,530.90,751.80,1416,,,,
West Bengal,,Arhar (Tur/Red gram),1976-1977,35.90,35.60,992,,,,
India                             ,,Arhar (Tur/Red gram),1976-1977,2566.00,1725.30,672,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1977-1978,199.10,29.80,150,,,,
Assam,,Arhar (Tur/Red gram),1977-1978,5.60,3.90,696,,,,
Bihar,,Arhar (Tur/Red gram),1977-1978,106.70,69.30,649,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1977-1978,2.10,1.10,524,,,,
Gujarat,,Arhar (Tur/Red gram),1977-1978,111.40,44.20,397,,,,
Haryana,,Arhar (Tur/Red gram),1977-1978,9.10,9.70,1066,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1977-1978,0.20,0.10,500,,,,
Karnataka,,Arhar (Tur/Red gram),1977-1978,320.50,222.50,694,,,,
Kerala ,,Arhar (Tur/Red gram),1977-1978,3.00,0.70,233,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1977-1978,488.40,352.30,721,,,,
Maharashtra,,Arhar (Tur/Red gram),1977-1978,660.30,344.30,521,,,,
Meghalaya,,Arhar (Tur/Red gram),1977-1978,0.20,0.10,500,,,,
Odisha,,Arhar (Tur/Red gram),1977-1978,57.60,30.50,530,,,,
Punjab,,Arhar (Tur/Red gram),1977-1978,4.40,2.30,523,,,,
Rajasthan ,,Arhar (Tur/Red gram),1977-1978,33.30,10.30,309,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1977-1978,80.80,37.70,467,,,,
Tripura,,Arhar (Tur/Red gram),1977-1978,0.40,0.20,500,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1977-1978,520.70,750.23,1441,,,,
West Bengal,,Arhar (Tur/Red gram),1977-1978,22.80,20.50,899,,,,
India                             ,,Arhar (Tur/Red gram),1977-1978,2626.60,1929.73,735,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1978-1979,205.70,44.60,217,,,,
Assam,,Arhar (Tur/Red gram),1978-1979,6.40,4.50,703,,,,
Bihar,,Arhar (Tur/Red gram),1978-1979,85.80,55.60,648,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1978-1979,2.30,1.30,565,,,,
Gujarat,,Arhar (Tur/Red gram),1978-1979,131.50,74.40,566,,,,
Haryana,,Arhar (Tur/Red gram),1978-1979,8.40,9.30,1107,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1978-1979,0.40,0.20,500,,,,
Karnataka,,Arhar (Tur/Red gram),1978-1979,330.50,219.30,664,,,,
Kerala ,,Arhar (Tur/Red gram),1978-1979,3.00,0.80,267,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1978-1979,474.50,316.80,668,,,,
Maharashtra,,Arhar (Tur/Red gram),1978-1979,675.80,399.20,591,,,,
Meghalaya,,Arhar (Tur/Red gram),1978-1979,0.20,0.30,1500,,,,
Odisha,,Arhar (Tur/Red gram),1978-1979,70.00,36.00,514,,,,
Punjab,,Arhar (Tur/Red gram),1978-1979,7.70,5.00,649,,,,
Rajasthan ,,Arhar (Tur/Red gram),1978-1979,44.90,14.30,318,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1978-1979,73.40,50.70,691,,,,
Tripura,,Arhar (Tur/Red gram),1978-1979,0.50,0.20,400,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1978-1979,501.20,646.50,1290,,,,
West Bengal,,Arhar (Tur/Red gram),1978-1979,12.70,8.40,661,,,,
India                             ,,Arhar (Tur/Red gram),1978-1979,2634.90,1887.40,716,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1979-1980,193.30,48.80,252,,,,
Assam,,Arhar (Tur/Red gram),1979-1980,6.00,4.20,700,,,,
Bihar,,Arhar (Tur/Red gram),1979-1980,87.20,76.80,881,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1979-1980,2.20,1.30,591,,,,
Gujarat,,Arhar (Tur/Red gram),1979-1980,153.00,87.70,573,,,,
Haryana,,Arhar (Tur/Red gram),1979-1980,6.60,6.10,924,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1979-1980,0.40,0.20,500,,,,
Karnataka,,Arhar (Tur/Red gram),1979-1980,353.50,234.60,664,,,,
Kerala ,,Arhar (Tur/Red gram),1979-1980,3.00,0.80,267,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1979-1980,512.30,229.20,447,,,,
Maharashtra,,Arhar (Tur/Red gram),1979-1980,662.60,411.30,621,,,,
Meghalaya,,Arhar (Tur/Red gram),1979-1980,0.70,0.50,714,,,,
Odisha,,Arhar (Tur/Red gram),1979-1980,76.10,30.50,401,,,,
Punjab,,Arhar (Tur/Red gram),1979-1980,17.00,12.40,729,,,,
Rajasthan ,,Arhar (Tur/Red gram),1979-1980,27.20,4.90,180,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1979-1980,68.50,43.30,632,,,,
Tripura,,Arhar (Tur/Red gram),1979-1980,0.60,0.20,333,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1979-1980,542.10,538.80,994,,,,
West Bengal,,Arhar (Tur/Red gram),1979-1980,18.70,25.40,1358,,,,
India                             ,,Arhar (Tur/Red gram),1979-1980,2731.00,1757.00,643,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1980-1981,226.90,44.10,194,,,,
Assam,,Arhar (Tur/Red gram),1980-1981,6.70,4.80,716,,,,
Bihar,,Arhar (Tur/Red gram),1980-1981,93.70,91.00,971,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1980-1981,1.80,1.10,611,,,,
Gujarat,,Arhar (Tur/Red gram),1980-1981,187.80,141.60,754,,,,
Haryana,,Arhar (Tur/Red gram),1980-1981,8.60,9.30,1081,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1980-1981,0.70,0.40,571,,,,
Karnataka,,Arhar (Tur/Red gram),1980-1981,336.40,124.60,370,,,,
Kerala ,,Arhar (Tur/Red gram),1980-1981,3.00,0.80,267,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1980-1981,522.90,303.60,581,,,,
Maharashtra,,Arhar (Tur/Red gram),1980-1981,706.10,359.80,510,,,,
Meghalaya,,Arhar (Tur/Red gram),1980-1981,0.70,0.50,714,,,,
Odisha,,Arhar (Tur/Red gram),1980-1981,81.80,42.60,521,,,,
Punjab,,Arhar (Tur/Red gram),1980-1981,17.90,18.20,1017,,,,
Rajasthan ,,Arhar (Tur/Red gram),1980-1981,35.20,12.30,349,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1980-1981,66.40,28.80,434,,,,
Tripura,,Arhar (Tur/Red gram),1980-1981,0.40,0.20,500,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1980-1981,522.60,756.50,1448,,,,
West Bengal,,Arhar (Tur/Red gram),1980-1981,22.60,17.10,757,,,,
India                             ,,Arhar (Tur/Red gram),1980-1981,2842.20,1957.30,689,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1981-1982,248.40,60.40,243,,,,
Assam,,Arhar (Tur/Red gram),1981-1982,7.30,5.20,712,,,,
Bihar,,Arhar (Tur/Red gram),1981-1982,85.40,86.50,1013,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1981-1982,1.90,1.30,684,,,,
Gujarat,,Arhar (Tur/Red gram),1981-1982,228.20,180.30,790,,,,
Haryana,,Arhar (Tur/Red gram),1981-1982,7.80,3.70,474,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1981-1982,0.50,0.30,600,,,,
Karnataka,,Arhar (Tur/Red gram),1981-1982,374.80,183.30,489,,,,
Kerala ,,Arhar (Tur/Red gram),1981-1982,3.00,0.80,267,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1981-1982,533.50,481.70,903,,,,
Maharashtra,,Arhar (Tur/Red gram),1981-1982,705.50,427.10,605,,,,
Meghalaya,,Arhar (Tur/Red gram),1981-1982,0.90,0.60,667,,,,
Odisha,,Arhar (Tur/Red gram),1981-1982,103.60,75.70,731,,,,
Punjab,,Arhar (Tur/Red gram),1981-1982,11.60,9.50,819,,,,
Rajasthan ,,Arhar (Tur/Red gram),1981-1982,31.80,11.90,374,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1981-1982,117.50,56.50,481,,,,
Tripura,,Arhar (Tur/Red gram),1981-1982,0.50,0.20,400,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1981-1982,515.40,630.20,1223,,,,
West Bengal,,Arhar (Tur/Red gram),1981-1982,27.20,21.30,783,,,,
India                             ,,Arhar (Tur/Red gram),1981-1982,3004.80,2236.50,744,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1982-1983,240.40,44.60,186,,,,
Assam,,Arhar (Tur/Red gram),1982-1983,8.10,5.80,716,,,,
Bihar,,Arhar (Tur/Red gram),1982-1983,83.70,94.50,1129,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1982-1983,1.50,0.90,600,,,,
Gujarat,,Arhar (Tur/Red gram),1982-1983,261.50,194.90,745,,,,
Haryana,,Arhar (Tur/Red gram),1982-1983,8.00,9.20,1150,,,,
Karnataka,,Arhar (Tur/Red gram),1982-1983,368.70,156.90,426,,,,
Kerala ,,Arhar (Tur/Red gram),1982-1983,0.20,0.10,500,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1982-1983,495.80,334.60,675,,,,
Maharashtra,,Arhar (Tur/Red gram),1982-1983,680.30,398.90,586,,,,
Meghalaya,,Arhar (Tur/Red gram),1982-1983,1.30,0.90,692,,,,
Odisha,,Arhar (Tur/Red gram),1982-1983,118.10,87.30,739,,,,
Punjab,,Arhar (Tur/Red gram),1982-1983,18.10,18.60,1028,,,,
Rajasthan ,,Arhar (Tur/Red gram),1982-1983,22.20,7.50,338,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1982-1983,112.00,46.50,415,,,,
Tripura,,Arhar (Tur/Red gram),1982-1983,0.50,0.20,400,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1982-1983,480.20,562.00,1170,,,,
West Bengal,,Arhar (Tur/Red gram),1982-1983,25.40,25.50,1004,,,,
India                             ,,Arhar (Tur/Red gram),1982-1983,2926.00,1988.90,680,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1983-1984,240.40,73.90,279,,,,
Assam,,Arhar (Tur/Red gram),1983-1984,8.10,7.70,733,,,,
Bihar,,Arhar (Tur/Red gram),1983-1984,83.70,108.30,1184,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1983-1984,1.50,1.00,588,,,,
Delhi ,,Arhar (Tur/Red gram),1983-1984,-,0.40,333,,,,
Gujarat,,Arhar (Tur/Red gram),1983-1984,261.50,205.30,685,,,,
Haryana,,Arhar (Tur/Red gram),1983-1984,8.00,16.50,882,,,,
Karnataka,,Arhar (Tur/Red gram),1983-1984,368.70,182.90,471,,,,
Kerala ,,Arhar (Tur/Red gram),1983-1984,0.20,0.10,500,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1983-1984,495.80,510.20,1004,,,,
Maharashtra,,Arhar (Tur/Red gram),1983-1984,680.30,487.00,666,,,,
Meghalaya,,Arhar (Tur/Red gram),1983-1984,1.30,1.00,769,,,,
Odisha,,Arhar (Tur/Red gram),1983-1984,118.10,87.90,682,,,,
Punjab,,Arhar (Tur/Red gram),1983-1984,18.10,35.70,899,,,,
Rajasthan ,,Arhar (Tur/Red gram),1983-1984,22.20,14.30,504,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1983-1984,112.00,98.40,628,,,,
Tripura,,Arhar (Tur/Red gram),1983-1984,0.50,0.30,500,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1983-1984,480.20,715.20,1382,,,,
West Bengal,,Arhar (Tur/Red gram),1983-1984,25.40,30.30,1027,,,,
India                             ,,Arhar (Tur/Red gram),1983-1984,2926.00,2576.40,801,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1984-1985,248.00,55.60,224,,,,
Assam,,Arhar (Tur/Red gram),1984-1985,9.90,7.20,727,,,,
Bihar,,Arhar (Tur/Red gram),1984-1985,77.00,94.00,1221,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1984-1985,1.70,1.00,588,,,,
Delhi ,,Arhar (Tur/Red gram),1984-1985,0.60,0.20,333,,,,
Gujarat,,Arhar (Tur/Red gram),1984-1985,328.80,251.10,764,,,,
Haryana,,Arhar (Tur/Red gram),1984-1985,21.40,15.50,724,,,,
Karnataka,,Arhar (Tur/Red gram),1984-1985,405.40,222.20,548,,,,
Kerala ,,Arhar (Tur/Red gram),1984-1985,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1984-1985,493.20,401.00,813,,,,
Maharashtra,,Arhar (Tur/Red gram),1984-1985,758.10,485.20,640,,,,
Meghalaya,,Arhar (Tur/Red gram),1984-1985,1.50,1.40,933,,,,
Odisha,,Arhar (Tur/Red gram),1984-1985,118.20,92.90,786,,,,
Punjab,,Arhar (Tur/Red gram),1984-1985,42.50,46.30,1089,,,,
Rajasthan ,,Arhar (Tur/Red gram),1984-1985,40.80,22.00,539,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1984-1985,75.60,38.80,513,,,,
Tripura,,Arhar (Tur/Red gram),1984-1985,0.50,0.30,600,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1984-1985,520.20,842.00,1619,,,,
West Bengal,,Arhar (Tur/Red gram),1984-1985,10.60,8.30,783,,,,
India                             ,,Arhar (Tur/Red gram),1984-1985,3154.20,2585.20,820,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1985-1986,263.90,84.50,320,,,,
Assam,,Arhar (Tur/Red gram),1985-1986,10.20,7.50,735,,,,
Bihar,,Arhar (Tur/Red gram),1985-1986,81.00,92.50,1142,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1985-1986,2.00,1.20,600,,,,
Delhi ,,Arhar (Tur/Red gram),1985-1986,0.60,0.20,333,,,,
Gujarat,,Arhar (Tur/Red gram),1985-1986,302.50,223.40,739,,,,
Haryana,,Arhar (Tur/Red gram),1985-1986,24.10,25.70,1066,,,,
Karnataka,,Arhar (Tur/Red gram),1985-1986,419.90,180.00,429,,,,
Kerala ,,Arhar (Tur/Red gram),1985-1986,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1985-1986,480.10,410.30,855,,,,
Maharashtra,,Arhar (Tur/Red gram),1985-1986,756.40,451.30,597,,,,
Meghalaya,,Arhar (Tur/Red gram),1985-1986,0.80,0.70,875,,,,
Odisha,,Arhar (Tur/Red gram),1985-1986,139.80,103.40,740,,,,
Punjab,,Arhar (Tur/Red gram),1985-1986,40.00,43.70,1093,,,,
Rajasthan ,,Arhar (Tur/Red gram),1985-1986,23.10,5.90,255,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1985-1986,80.50,57.40,713,,,,
Tripura,,Arhar (Tur/Red gram),1985-1986,0.50,0.30,600,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1985-1986,542.80,738.80,1361,,,,
West Bengal,,Arhar (Tur/Red gram),1985-1986,15.50,14.00,903,,,,
India                             ,,Arhar (Tur/Red gram),1985-1986,3183.90,2441.00,767,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1986-1987,275.40,79.60,289,,,,
Assam,,Arhar (Tur/Red gram),1986-1987,9.90,7.20,727,,,,
Bihar,,Arhar (Tur/Red gram),1986-1987,82.80,99.90,1207,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1986-1987,1.80,1.10,611,,,,
Delhi ,,Arhar (Tur/Red gram),1986-1987,0.60,0.20,333,,,,
Gujarat,,Arhar (Tur/Red gram),1986-1987,318.70,146.10,458,,,,
Haryana,,Arhar (Tur/Red gram),1986-1987,34.30,40.40,1178,,,,
Karnataka,,Arhar (Tur/Red gram),1986-1987,445.00,193.80,436,,,,
Kerala ,,Arhar (Tur/Red gram),1986-1987,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1986-1987,437.30,413.50,946,,,,
Maharashtra,,Arhar (Tur/Red gram),1986-1987,759.90,372.40,490,,,,
Meghalaya,,Arhar (Tur/Red gram),1986-1987,0.90,0.80,889,,,,
Odisha,,Arhar (Tur/Red gram),1986-1987,141.80,102.10,720,,,,
Punjab,,Arhar (Tur/Red gram),1986-1987,30.20,30.20,1000,,,,
Rajasthan ,,Arhar (Tur/Red gram),1986-1987,16.70,3.50,210,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1986-1987,88.20,86.40,980,,,,
Tripura,,Arhar (Tur/Red gram),1986-1987,0.50,0.30,600,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1986-1987,495.70,684.30,1380,,,,
West Bengal,,Arhar (Tur/Red gram),1986-1987,7.60,9.60,1263,,,,
India                             ,,Arhar (Tur/Red gram),1986-1987,3147.50,2271.60,722,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1987-1988,337.70,45.50,135,,,,
Assam,,Arhar (Tur/Red gram),1987-1988,8.70,6.20,713,,,,
Bihar,,Arhar (Tur/Red gram),1987-1988,71.10,85.30,1200,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1987-1988,1.70,1.20,706,,,,
Delhi ,,Arhar (Tur/Red gram),1987-1988,0.80,0.30,375,,,,
Gujarat,,Arhar (Tur/Red gram),1987-1988,325.00,111.00,342,,,,
Haryana,,Arhar (Tur/Red gram),1987-1988,39.30,32.20,819,,,,
Karnataka,,Arhar (Tur/Red gram),1987-1988,462.70,208.80,451,,,,
Kerala ,,Arhar (Tur/Red gram),1987-1988,0.20,0.20,1000,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1987-1988,454.30,417.50,919,,,,
Maharashtra,,Arhar (Tur/Red gram),1987-1988,778.90,534.60,686,,,,
Meghalaya,,Arhar (Tur/Red gram),1987-1988,0.90,0.70,778,,,,
Odisha,,Arhar (Tur/Red gram),1987-1988,141.00,103.40,733,,,,
