States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Haryana,Kharif,Urad,1972-1973,12.00,5.00,417
Himachal Pradesh,Kharif,Urad,1972-1973,21.00,6.00,286
Jammu & Kashmir,Kharif,Urad,1972-1973,20.00,9.00,450
Karnataka,Kharif,Urad,1972-1973,34.00,16.00,471
Kerala,Kharif,Urad,1972-1973,3.00,1.00,333
Madhya Pradesh,Kharif,Urad,1972-1973,516.00,110.00,213
Maharashtra,Kharif,Urad,1972-1973,300.00,63.00,210
Punjab,Kharif,Urad,1972-1973,31.00,15.00,484
Rajasthan,Kharif,Urad,1972-1973,61.00,24.00,393
Tamil Nadu,Kharif,Urad,1972-1973,148.00,49.00,331
Uttar Pradesh,Kharif,Urad,1972-1973,151.00,57.00,377
West Bengal,Kharif,Urad,1972-1973,38.00,23.00,605
India,Kharif,Urad,1972-1973,1487.00,426.00,286
Andhra Pradesh,Rabi,Urad,1972-1973,133.00,72.00,541
Assam,Rabi,Urad,1972-1973,-,26.00,-
Gujarat,Rabi,Urad,1972-1973,124.00,-,-
Haryana,Rabi,Urad,1972-1973,26.00,-,-
Karnataka,Rabi,Urad,1972-1973,-,2.00,-
Madhya Pradesh,Rabi,Urad,1972-1973,-,26.00,-
Maharashtra,Rabi,Urad,1972-1973,-,5.00,-
West Bengal,Rabi,Urad,1972-1973,-,57.00,-
India,Rabi,Urad,1972-1973,470.00,187.00,398
Andhra Pradesh,Total,Urad,1972-1973,182.00,80.00,440
Assam,Total,Urad,1972-1973,50.00,26.00,520
Bihar,Total,Urad,1972-1973,100.00,37.00,370
Dadra & Nagar Haveli  ,Total,Urad,1972-1973,2.00,1.00,500
Haryana,Total,Urad,1972-1973,12.00,5.00,417
Himachal Pradesh,Total,Urad,1972-1973,21.00,6.00,286
Jammu & Kashmir,Total,Urad,1972-1973,20.00,9.00,450
Karnataka,Total,Urad,1972-1973,43.00,18.00,419
Kerala,Total,Urad,1972-1973,3.00,1.00,333
Madhya Pradesh,Total,Urad,1972-1973,640.00,136.00,213
Maharashtra,Total,Urad,1972-1973,326.00,68.00,209
Punjab,Total,Urad,1972-1973,31.00,15.00,484
Rajasthan,Total,Urad,1972-1973,61.00,24.00,393
Tamil Nadu,Total,Urad,1972-1973,148.00,49.00,331
Tripura,Total,Urad,1972-1973,1.00,-,-
Uttar Pradesh,Total,Urad,1972-1973,151.00,57.00,377
West Bengal,Total,Urad,1972-1973,166.00,80.00,482
India,Total,Urad,1972-1973,1957.00,613.00,313
Andhra Pradesh,Kharif,Urad,1973-1974,54.00,14.00,259
Bihar,Kharif,Urad,1973-1974,106.00,55.00,519
Dadra & Nagar Haveli  ,Kharif,Urad,1973-1974,2.00,1.00,500
Gujarat,Kharif,Urad,1973-1974,-,5.00,-
Haryana,Kharif,Urad,1973-1974,13.00,8.00,615
Himachal Pradesh,Kharif,Urad,1973-1974,27.00,8.00,296
Jammu & Kashmir,Kharif,Urad,1973-1974,24.00,20.00,833
Karnataka,Kharif,Urad,1973-1974,37.00,1.00,27
Kerala,Kharif,Urad,1973-1974,3.00,130.00,43333
Madhya Pradesh,Kharif,Urad,1973-1974,580.00,138.00,238
Maharashtra,Kharif,Urad,1973-1974,484.00,19.00,39
Punjab,Kharif,Urad,1973-1974,39.00,24.00,615
Rajasthan,Kharif,Urad,1973-1974,99.00,52.00,525
Tamil Nadu,Kharif,Urad,1973-1974,158.00,62.00,392
Uttar Pradesh,Kharif,Urad,1973-1974,164.00,27.00,165
West Bengal,Kharif,Urad,1973-1974,46.00,-,0
India,Kharif,Urad,1973-1974,1836.00,564.00,307
Andhra Pradesh,Rabi,Urad,1973-1974,163.00,70.00,429
Assam,Rabi,Urad,1973-1974,49.00,24.00,490
Gujarat,Rabi,Urad,1973-1974,120.00,-,-
Haryana,Rabi,Urad,1973-1974,38.00,-,-
Karnataka,Rabi,Urad,1973-1974,-,1.00,-
Madhya Pradesh,Rabi,Urad,1973-1974,-,24.00,-
Maharashtra,Rabi,Urad,1973-1974,-,8.00,-
Meghalaya,Rabi,Urad,1973-1974,1.00,-,-
Nagaland,Rabi,Urad,1973-1974,157.00,-,-
West Bengal,Rabi,Urad,1973-1974,-,53.00,-
India,Rabi,Urad,1973-1974,533.00,180.00,338
Andhra Pradesh,Total,Urad,1973-1974,217.00,85.00,392
Assam,Total,Urad,1973-1974,49.00,24.00,490
Bihar,Total,Urad,1973-1974,106.00,55.00,519
Dadra & Nagar Haveli  ,Total,Urad,1973-1974,2.00,1.00,500
Haryana,Total,Urad,1973-1974,13.00,5.00,385
Himachal Pradesh,Total,Urad,1973-1974,27.00,8.00,296
Jammu & Kashmir,Total,Urad,1973-1974,24.00,8.00,333
Karnataka,Total,Urad,1973-1974,44.00,21.00,477
Kerala,Total,Urad,1973-1974,3.00,1.00,333
Madhya Pradesh,Total,Urad,1973-1974,700.00,154.00,220
Maharashtra,Total,Urad,1973-1974,522.00,145.00,278
Punjab,Total,Urad,1973-1974,39.00,19.00,487
