States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Delhi,,Total Pulses,1955-1956,38.00,3.00,79
Gujarat,,Total Pulses,1955-1956,514.00,176.00,342
Himachal Pradesh,,Total Pulses,1955-1956,31.00,9.00,290
Jammu & Kashmir,,Total Pulses,1955-1956,3.00,3.00,628
Karnataka,,Total Pulses,1955-1956,1498.00,547.00,365
Kerala,,Total Pulses,1955-1956,44.00,16.00,365
Madhya Pradesh,,Total Pulses,1955-1956,3567.00,1676.00,470
Maharashtra,,Total Pulses,1955-1956,2316.00,1081.00,467
Odisha,,Total Pulses,1955-1956,518.00,285.00,551
Punjab,,Total Pulses,1955-1956,2812.00,1787.00,635
Rajasthan,,Total Pulses,1955-1956,2991.00,1071.00,358
Tamil Nadu,,Total Pulses,1955-1956,438.00,104.00,237
Uttar Pradesh,,Total Pulses,1955-1956,4475.00,2920.00,652
West Bengal,,Total Pulses,1955-1956,718.00,398.00,555
India,,Total Pulses,1955-1956,23216.00,11045.00,476
Andhra Pradesh,,Total Pulses,1956-1957,1333.00,276.00,207
Assam,,Total Pulses,1956-1957,74.00,30.00,409
Bihar,,Total Pulses,1956-1957,1903.00,593.00,312
Delhi,,Total Pulses,1956-1957,35.00,4.00,114
Gujarat,,Total Pulses,1956-1957,570.00,187.00,328
Himachal Pradesh,,Total Pulses,1956-1957,30.00,8.00,267
Jammu & Kashmir,,Total Pulses,1956-1957,5.00,3.00,628
Karnataka,,Total Pulses,1956-1957,1203.00,299.00,249
Kerala,,Total Pulses,1956-1957,48.00,19.00,396
Madhya Pradesh,,Total Pulses,1956-1957,3607.00,1704.00,473
Maharashtra,,Total Pulses,1956-1957,2285.00,910.00,398
Odisha,,Total Pulses,1956-1957,504.00,274.00,545
Punjab,,Total Pulses,1956-1957,2735.00,2002.00,732
Rajasthan,,Total Pulses,1956-1957,3554.00,1586.00,446
Tamil Nadu,,Total Pulses,1956-1957,448.00,115.00,257
Tripura,,Total Pulses,1956-1957,1.00,-,-
Uttar Pradesh,,Total Pulses,1956-1957,4381.00,3258.00,744
West Bengal,,Total Pulses,1956-1957,600.00,281.00,465
India,,Total Pulses,1956-1957,23316.00,11551.00,495
Andhra Pradesh,,Total Pulses,1957-1958,1302.00,259.00,199
Assam,,Total Pulses,1957-1958,77.00,30.00,390
Bihar,,Total Pulses,1957-1958,1668.00,675.00,405
Delhi,,Total Pulses,1957-1958,27.00,3.00,111
Gujarat,,Total Pulses,1957-1958,471.00,121.00,257
Himachal Pradesh,,Total Pulses,1957-1958,28.00,9.00,321
Jammu & Kashmir,,Total Pulses,1957-1958,5.00,3.00,628
Karnataka,,Total Pulses,1957-1958,1322.00,345.00,261
Kerala,,Total Pulses,1957-1958,45.00,18.00,400
Madhya Pradesh,,Total Pulses,1957-1958,3346.00,1180.00,353
Maharashtra,,Total Pulses,1957-1958,2465.00,867.00,352
Odisha,,Total Pulses,1957-1958,476.00,224.00,471
Punjab,,Total Pulses,1957-1958,2619.00,1795.00,685
Rajasthan,,Total Pulses,1957-1958,3032.00,907.00,298
Tamil Nadu,,Total Pulses,1957-1958,471.00,123.00,261
Tripura,,Total Pulses,1957-1958,1.00,-,-
Uttar Pradesh,,Total Pulses,1957-1958,4601.00,2743.00,596
West Bengal,,Total Pulses,1957-1958,582.00,259.00,445
India,,Total Pulses,1957-1958,22538.00,9562.00,424
Andhra Pradesh,,Total Pulses,1958-1959,1298.00,261.00,201
Assam,,Total Pulses,1958-1959,76.00,31.00,408
Bihar,,Total Pulses,1958-1959,2297.00,1108.00,482
Delhi,,Total Pulses,1958-1959,31.00,19.00,613
Gujarat,,Total Pulses,1958-1959,595.00,213.00,357
Himachal Pradesh,,Total Pulses,1958-1959,29.00,9.00,310
Jammu & Kashmir,,Total Pulses,1958-1959,11.00,7.00,636
Karnataka,,Total Pulses,1958-1959,1329.00,328.00,247
Kerala,,Total Pulses,1958-1959,44.00,18.00,409
Madhya Pradesh,,Total Pulses,1958-1959,3660.00,1698.00,464
Maharashtra,,Total Pulses,1958-1959,2420.00,834.00,345
Odisha,,Total Pulses,1958-1959,490.00,255.00,520
Punjab,,Total Pulses,1958-1959,2832.00,2520.00,890
Rajasthan,,Total Pulses,1958-1959,3301.00,1526.00,462
Tamil Nadu,,Total Pulses,1958-1959,422.00,110.00,261
Tripura,,Total Pulses,1958-1959,1.00,-,-
Uttar Pradesh,,Total Pulses,1958-1959,4732.00,3835.00,810
West Bengal,,Total Pulses,1958-1959,741.00,374.00,504
India,,Total Pulses,1958-1959,24311.00,13149.00,541
Andhra Pradesh,,Total Pulses,1959-1960,1345.00,308.00,229
Assam,,Total Pulses,1959-1960,73.00,23.00,315
Bihar,,Total Pulses,1959-1960,2322.00,972.00,419
Delhi,,Total Pulses,1959-1960,18.00,6.00,333
Gujarat,,Total Pulses,1959-1960,689.00,223.00,322
Himachal Pradesh,,Total Pulses,1959-1960,31.00,9.00,290
Jammu & Kashmir,,Total Pulses,1959-1960,4.00,1.00,558
Karnataka,,Total Pulses,1959-1960,1294.00,351.00,271
Kerala,,Total Pulses,1959-1960,44.00,17.00,386
Madhya Pradesh,,Total Pulses,1959-1960,3848.00,1893.00,492
Maharashtra,,Total Pulses,1959-1960,2458.00,778.00,317
Odisha,,Total Pulses,1959-1960,510.00,254.00,498
Punjab,,Total Pulses,1959-1960,2727.00,1747.00,641
Rajasthan,,Total Pulses,1959-1960,3596.00,1147.00,319
Tamil Nadu,,Total Pulses,1959-1960,437.00,115.00,263
Tripura,,Total Pulses,1959-1960,1.00,1.00,1000
Uttar Pradesh,,Total Pulses,1959-1960,4697.00,3616.00,770
West Bengal,,Total Pulses,1959-1960,738.00,334.00,453
India,,Total Pulses,1959-1960,24833.00,11799.00,475
Andhra Pradesh,,Total Pulses,1960-1961,1250.00,276.00,221
Assam,,Total Pulses,1960-1961,75.00,26.00,347
Bihar,,Total Pulses,1960-1961,2332.00,1200.00,515
Delhi,,Total Pulses,1960-1961,30.00,20.00,667
Gujarat,,Total Pulses,1960-1961,512.00,170.00,326
Himachal Pradesh,,Total Pulses,1960-1961,26.00,7.00,269
Jammu & Kashmir,,Total Pulses,1960-1961,52.00,21.00,404
Karnataka,,Total Pulses,1960-1961,1306.00,353.00,270
Kerala,,Total Pulses,1960-1961,44.00,17.00,386
Madhya Pradesh,,Total Pulses,1960-1961,3729.00,1822.00,489
Maharashtra,,Total Pulses,1960-1961,2351.00,989.00,421
Odisha,,Total Pulses,1960-1961,494.00,219.00,443
Punjab,,Total Pulses,1960-1961,2605.00,2052.00,788
Rajasthan,,Total Pulses,1960-1961,3012.00,1202.00,399
Tamil Nadu,,Total Pulses,1960-1961,426.00,113.00,265
Tripura,,Total Pulses,1960-1961,1.00,1.00,1000
Uttar Pradesh,,Total Pulses,1960-1961,4548.00,3824.00,841
West Bengal,,Total Pulses,1960-1961,774.00,391.00,505
India,,Total Pulses,1960-1961,23563.00,12704.00,539
Andhra Pradesh,,Total Pulses,1961-1962,1383.00,310.00,224
Assam,,Total Pulses,1961-1962,74.00,31.00,419
Bihar,,Total Pulses,1961-1962,2314.00,1203.00,520
Delhi,,Total Pulses,1961-1962,27.00,21.00,778
Gujarat,,Total Pulses,1961-1962,584.00,213.00,365
Himachal Pradesh,,Total Pulses,1961-1962,29.00,9.00,310
Jammu & Kashmir,,Total Pulses,1961-1962,47.00,20.00,404
Karnataka,,Total Pulses,1961-1962,1304.00,369.00,283
Kerala,,Total Pulses,1961-1962,44.00,17.00,386
Madhya Pradesh,,Total Pulses,1961-1962,3830.00,1735.00,453
Maharashtra,,Total Pulses,1961-1962,2427.00,854.00,352
Odisha,,Total Pulses,1961-1962,501.00,234.00,467
Punjab,,Total Pulses,1961-1962,2459.00,1812.00,737
Rajasthan,,Total Pulses,1961-1962,3420.00,1428.00,418
Tamil Nadu,,Total Pulses,1961-1962,419.00,108.00,258
Tripura,,Total Pulses,1961-1962,2.00,1.00,500
Uttar Pradesh,,Total Pulses,1961-1962,4615.00,3050.00,661
West Bengal,,Total Pulses,1961-1962,764.00,341.00,446
India,,Total Pulses,1961-1962,24243.00,11755.00,485
Andhra Pradesh,,Total Pulses,1962-1963,1420.00,296.00,203
Assam,,Total Pulses,1962-1963,77.00,30.00,397
Bihar,,Total Pulses,1962-1963,2277.00,1180.00,525
Delhi,,Total Pulses,1962-1963,22.00,11.00,478
Gujarat,,Total Pulses,1962-1963,487.00,185.00,367
Himachal Pradesh,,Total Pulses,1962-1963,29.00,11.00,310
Jammu & Kashmir,,Total Pulses,1962-1963,48.00,22.00,458
Karnataka,,Total Pulses,1962-1963,1202.00,338.00,281
Kerala,,Total Pulses,1962-1963,44.00,17.00,386
Madhya Pradesh,,Total Pulses,1962-1963,3639.00,1609.00,447
Maharashtra,,Total Pulses,1962-1963,2346.00,832.00,355
Odisha,,Total Pulses,1962-1963,1090.00,519.00,476
Punjab,,Total Pulses,1962-1963,2483.00,1595.00,644
Rajasthan,,Total Pulses,1962-1963,3291.00,1165.00,354
